dataset,column,dtype,rows,null_count,null_rate_pct,unique_count,sample_values,min_value,max_value
DisasterDeclarationsSummaries,femaDeclarationString,object,200,0,0.0,133,"FM-5529-OR, FM-5528-OR, FM-5527-OR, DR-4312-CA, DR-4251-AL",,
DisasterDeclarationsSummaries,disasterNumber,int64,200,0,0.0,133,"5529, 5528, 5527, 4312, 4251",4251,5529
DisasterDeclarationsSummaries,state,object,200,0,0.0,22,"OR, OR, OR, CA, AL",,
DisasterDeclarationsSummaries,declarationType,object,200,0,0.0,2,"FM, FM, FM, DR, DR",,
DisasterDeclarationsSummaries,declarationDate,object,200,0,0.0,102,"2024-08-09T00:00:00.000Z, 2024-08-06T00:00:00.000Z, 2024-08-02T00:00:00.000Z, 2017-05-02T00:00:00.000Z, 2016-01-21T00:00:00.000Z",,
DisasterDeclarationsSummaries,fyDeclared,int64,200,0,0.0,7,"2024, 2024, 2024, 2017, 2016",2016,2024
DisasterDeclarationsSummaries,incidentType,object,200,0,0.0,2,"Fire, Fire, Fire, Severe Storm, Severe Storm",,
DisasterDeclarationsSummaries,declarationTitle,object,200,0,0.0,132,"LEE FALLS FIRE, ELK LANE FIRE, MILE MARKER 132 FIRE, FLOODING, SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",,
DisasterDeclarationsSummaries,ihProgramDeclared,bool,200,0,0.0,1,"False, False, False, False, False",False,False
DisasterDeclarationsSummaries,iaProgramDeclared,bool,200,0,0.0,1,"False, False, False, False, False",False,False
DisasterDeclarationsSummaries,paProgramDeclared,bool,200,0,0.0,1,"True, True, True, True, True",True,True
DisasterDeclarationsSummaries,hmProgramDeclared,bool,200,0,0.0,1,"True, True, True, True, True",True,True
DisasterDeclarationsSummaries,incidentBeginDate,object,200,0,0.0,100,"2024-08-08T00:00:00.000Z, 2024-08-04T00:00:00.000Z, 2024-08-02T00:00:00.000Z, 2017-02-08T00:00:00.000Z, 2015-12-23T00:00:00.000Z",,
DisasterDeclarationsSummaries,incidentEndDate,object,200,38,19.0,87,"2017-02-11T00:00:00.000Z, 2015-12-31T00:00:00.000Z, 2015-12-31T00:00:00.000Z, 2015-12-31T00:00:00.000Z, 2015-12-31T00:00:00.000Z",,
DisasterDeclarationsSummaries,disasterCloseoutDate,object,200,156,78.0,7,"2025-03-25T00:00:00.000Z, 2025-03-27T00:00:00.000Z, 2025-03-27T00:00:00.000Z, 2025-03-27T00:00:00.000Z, 2025-03-27T00:00:00.000Z",,
DisasterDeclarationsSummaries,tribalRequest,bool,200,0,0.0,2,"False, False, False, True, False",False,True
DisasterDeclarationsSummaries,fipsStateCode,object,200,0,0.0,22,"41, 41, 41, 06, 01",,
DisasterDeclarationsSummaries,fipsCountyCode,object,200,0,0.0,64,"067, 031, 017, 000, 001",,
DisasterDeclarationsSummaries,placeCode,object,200,0,0.0,68,"99067, 99031, 99017, 60347, 99001",,
DisasterDeclarationsSummaries,designatedArea,object,200,0,0.0,141,"Washington (County), Jefferson (County), Deschutes (County), Resighini Rancheria (Indian Reservation), Autauga (County)",,
DisasterDeclarationsSummaries,declarationRequestNumber,object,200,0,0.0,133,"24122, 24116, 24111, 17035, 16003",,
DisasterDeclarationsSummaries,lastIAFilingDate,object,200,200,100.0,0,,,
DisasterDeclarationsSummaries,incidentId,object,200,0,0.0,133,"2024081001, 2024080701, 2024080301, 2017041001, 2015122301",,
DisasterDeclarationsSummaries,region,int64,200,0,0.0,7,"10, 10, 10, 9, 4",1,10
DisasterDeclarationsSummaries,designatedIncidentTypes,object,200,146,73.0,2,"R, R, R, R, R",,
DisasterDeclarationsSummaries,lastRefresh,object,200,0,0.0,3,"2024-08-27T18:22:14.800Z, 2024-08-27T18:22:14.800Z, 2024-08-27T18:22:14.800Z, 2025-03-26T20:21:32.579Z, 2025-03-27T12:21:46.559Z",,
DisasterDeclarationsSummaries,hash,object,200,0,0.0,200,"ae87cf3c6ed795015b714af7166c7c295b2b67c7, 432cf0995c47e3895cea696ede5621b810460501, 2f21d90cb6bc64b0d4121aa3f18d852bbb4b11fa, 432a3a64bdbb291ae26cf5a27a33deeabb380481, dcd4ce6b37ee49875b3f1e32e9a8a16cd6a803d3",,
DisasterDeclarationsSummaries,id,object,200,0,0.0,200,"09e3f81a-5e16-4b72-b317-1c64e0cfa59c, 59983f89-30bf-4888-b21b-62e8d57d9aac, 8d13ecf0-bc2f-496b-8c9f-b2e73da832a0, 98a7c5bb-2346-45aa-a1ca-0399440d4f0b, 5229bbae-eee6-42b8-b277-edbafa8d6cb2",,
